||||||Co Values->colspan|||||||
||||||L/W->colspan|||||||
Re/1000|H/W|0.40|0.60|0.80|1.00|1.20|1.40|1.60|1.80|2.00|4.00|8.00|10.00
10|0.70|0.92v|1.34v|2.41v|3.93v|5.40v|6.01v|6.26v|6.33v|6.26v|4.62v|4.12v|3.67v
10|1.40|0.87v|1.26v|2.25v|3.68v|5.05v|5.61v|5.85v|5.91v|5.85v|4.31v|3.85v|3.43v
10|2.80|0.78v|1.13v|2.03v|3.32v|4.55v|5.05v|5.26v|5.32v|5.26v|3.88v|3.47v|3.09v
10|4.20|0.71v|1.05v|1.88v|3.05v|4.20v|4.66v|4.86v|4.90v|4.86v|3.58v|3.19v|2.84v
10|5.60|0.67v|0.98v|1.76v|2.87v|3.95v|4.38v|4.56v|4.61v|4.56v|3.36v|3.01v|2.67v
30|0.60|0.79v|1.14v|2.05v|3.34v|4.59v|5.11v|5.32v|5.38v|5.32v|3.93v|3.50v|3.12v
30|1.19|0.74v|1.07v|1.92v|3.13v|4.30v|4.77v|4.97v|5.02v|4.97v|3.67v|3.27v|2.92v
30|2.38|0.67v|0.96v|1.73v|2.82v|3.87v|4.30v|4.47v|4.52v|4.47v|3.30v|2.95v|2.63v
30|3.57|0.61v|0.89v|1.59v|2.59v|3.57v|3.96v|4.13v|4.17v|4.13v|3.05v|2.71v|2.42v
30|4.76|0.57v|0.83v|1.50v|2.44v|3.36v|3.72v|3.88v|3.92v|3.88v|2.86v|2.56v|2.27v
60|0.55|0.72v|1.05v|1.87v|3.06v|4.21v|4.68v|4.87v|4.93v|4.87v|3.60v|3.20v|2.86v
60|1.09|0.68v|0.98v|1.75v|2.87v|3.93v|4.37v|4.56v|4.60v|4.56v|3.36v|3.00v|2.67v
60|2.18|0.61v|0.88v|1.58v|2.58v|3.54v|3.93v|4.10v|4.14v|4.10v|3.02v|2.70v|2.41v
60|3.27|0.56v|0.82v|1.46v|2.38v|3.27v|3.63v|3.78v|3.82v|3.78v|2.79v|2.49v|2.21v
60|4.36|0.52v|0.76v|1.37v|2.23v|3.07v|3.41v|3.55v|3.59v|3.55v|2.62v|2.34v|2.08v
100|0.52|0.69v|1.00v|1.79v|2.92v|4.01v|4.46v|4.65v|4.70v|4.65v|3.43v|3.06v|2.72v
100|1.04|0.64v|0.94v|1.67v|2.74v|3.75v|4.17v|4.35v|4.39v|4.35v|3.20v|2.86v|2.55v
100|2.08|0.58v|0.84v|1.51v|2.46v|3.38v|3.75v|3.91v|3.95v|3.91v|2.88v|2.58v|2.30v
100|3.12|0.53v|0.78v|1.39v|2.27v|3.12v|3.46v|3.61v|3.64v|3.61v|2.66v|2.37v|2.11v
100|4.16|0.50v|0.73v|1.31v|2.13v|2.93v|3.26v|3.39v|3.42v|3.39v|2.50v|2.24v|1.99v
140|0.50|0.66v|0.96v|1.72v|2.81v|3.86v|4.29v|4.47v|4.52v|4.47v|3.30v|2.94v|2.62v
140|1.00|0.62v|0.90v|1.61v|2.63v|3.61v|4.01v|4.18v|4.22v|4.18v|3.08v|2.75v|2.45v
140|2.00|0.56v|0.81v|1.45v|2.37v|3.25v|3.61v|3.76v|3.80v|3.76v|2.77v|2.48v|2.21v
140|3.00|0.51v|0.75v|1.34v|2.18v|3.00v|3.33v|3.47v|3.50v|3.47v|2.56v|2.28v|2.03v
140|4.00|0.48v|0.70v|1.26v|2.05v|2.82v|3.13v|3.26v|3.29v|3.26v|2.40v|2.15v|1.91v
500|0.50|0.66v|0.96v|1.72v|2.81v|3.86v|4.29v|4.47v|4.52v|4.47v|3.30v|2.94v|2.62v
500|1.00|0.62v|0.90v|1.61v|2.63v|3.61v|4.01v|4.18v|4.22v|4.18v|3.08v|2.75v|2.45v
500|2.00|0.56v|0.81v|1.45v|2.37v|3.25v|3.61v|3.76v|3.80v|3.76v|2.77v|2.48v|2.21v
500|3.00|0.51v|0.75v|1.34v|2.18v|3.00v|3.33v|3.47v|3.50v|3.47v|2.56v|2.28v|2.03v
500|4.00|0.48v|0.70v|1.26v|2.05v|2.82v|3.13v|3.26v|3.29v|3.26v|2.40v|2.15v|1.91v
