|||||Co Values->colspan|||||
|||||H/W->colspan|||||
L/W|0.25|0.50|0.75|1.00|1.50|2.00|3.00|4.00|5.00|6.00
0.05|1.58v|1.41v|1.31v|1.2v|1.08v|1.03v|1.03v|1.08v|1.15v|1.18v
0.1|1.44v|1.29v|1.2v|1.1v|0.99v|0.94v|0.94v|0.99v|1.05v|1.08v
0.15|1.31v|1.17v|1.09v|1v|0.9v|0.86v|0.86v|0.9v|0.96v|0.98v
0.2|1.17v|1.05v|0.98v|0.9v|0.81v|0.77v|0.77v|0.81v|0.86v|0.88v
0.3|1.04v|0.94v|0.87v|0.8v|0.72v|0.68v|0.68v|0.72v|0.76v|0.78v
0.4|0.9v|0.81v|0.75v|0.69v|0.62v|0.59v|0.59v|0.62v|0.66v|0.68v
0.5|0.78v|0.7v|0.65v|0.6v|0.54v|0.51v|0.51v|0.54v|0.57v|0.59v
