||||||Co Values->colspan|||||||
||||||n->colspan|||||||
D1/D0|0.3|0.35|0.4|0.45|0.5|0.55|0.6|0.65|0.7|0.75|0.8|0.9|1
0.3|249.72v|166.18v|120.84v|88.62v|66.46v|50.75v|39.07v|30.21v|23.37v|17.72v|12.88v|5.63v|0.00v
0.4|189.44v|125.98v|91.67v|67.22v|50.42v|38.50v|29.64v|22.92v|17.72v|13.44v|9.78v|4.28v|0.00v
0.5|111.95v|74.28v|54.17v|39.72v|29.79v|22.75v|17.52v|13.54v|10.47v|7.95v|5.78v|2.53v|0.00v
0.6|50.81v|33.60v|24.58v|18.03v|13.52v|10.33v|7.95v|6.15v|4.75v|3.61v|2.62v|1.15v|0.00v
0.7|26.20v|17.32v|12.68v|9.30v|6.97v|5.32v|4.10v|3.17v|2.45v|1.86v|1.35v|0.59v|0.00v
0.8|15.39v|10.18v|7.45v|5.46v|4.10v|3.13v|2.41v|1.86v|1.44v|1.09v|0.79v|0.35v|0.00v
0.9|9.49v|6.28v|4.59v|3.37v|2.53v|1.93v|1.49v|1.15v|0.89v|0.68v|0.49v|0.22v|0.00v
1|6.20v|4.10v|3.00v|2.20v|1.65v|1.26v|0.97v|0.75v|0.58v|0.44v|0.32v|0.14v|0.00v
1.2|3.01v|1.99v|1.46v|1.07v|0.80v|0.61v|0.47v|0.36v|0.29v|0.21v|0.15v|0.07v|0.00v
1.4|1.62v|1.08v|0.79v|0.58v|0.43v|0.33v|0.25v|0.20v|0.16v|0.12v|0.08v|0.04v|0.00v
1.6|0.95v|0.64v|0.46v|0.34v|0.25v|0.19v|0.15v|0.12v|0.09v|0.07v|0.05v|0.02v|0.00v
1.8|0.62v|0.41v|0.30v|0.22v|0.16v|0.13v|0.10v|0.07v|0.06v|0.05v|0.04v|0.02v|0.00v
2|0.39v|0.26v|0.19v|0.14v|0.10v|0.08v|0.06v|0.05v|0.04v|0.03v|0.03v|0.01v|0.00v
2.4|0.20v|0.13v|0.09v|0.07v|0.06v|0.04v|0.03v|0.02v|0.02v|0.01v|0.01v|0.00v|0.00v
