||||Cb1 Values|||||
||||Qb1/Qc|||||
Ab1/Ac|0.10|0.20|0.30|0.40|0.50|0.60|0.70|0.80|0.90
0.1|67.91v|11.62v|3.53v|1.42v|0.8v|0.63v|0.64v|0.73v|0.84v
0.2|75.56v|13.56v|4.38v|1.9v|1.1v|0.84v|0.8v|0.85v|0.93v
0.3|83.2v|15.5v|5.24v|2.38v|1.4v|1.06v|0.96v|0.97v|1.03v
0.4|90.85v|17.44v|6.09v|2.86v|1.7v|1.27v|1.12v|1.09v|1.12v
0.5|98.5v|19.38v|6.94v|3.34v|2v|1.49v|1.28v|1.21v|1.22v
0.6|110.85v|22.43v|8.32v|4.11v|2.61v|1.87v|1.53v|1.4v|1.37v
0.7|123.2v|25.48v|9.69v|4.88v|3.22v|2.25v|1.78v|1.59v|1.52v
0.8|138.1v|29.2v|11.35v|5.82v|3.82v|2.66v|2.09v|1.83v|1.71v
0.9|155.55v|33.6v|13.28v|6.91v|4.41v|3.11v|2.44v|2.1v|1.92v
