||||||CO Values|||||||
||||||r/D1|||||||
A0/A1|0.00|0.01|0.02|0.03|0.04|0.05|0.06|0.08|0.10|0.12|0.16|0.20|10.00
0.4|0.08v|0.07v|0.06v|0.05v|0.04v|0.04v|0.03v|0.02v|0.02v|0.01v|0.01v|0.00v|0.00v
0.5|0.13v|0.11v|0.09v|0.08v|0.07v|0.06v|0.05v|0.04v|0.03v|0.02v|0.02v|0.01v|0.01v
0.6|0.18v|0.16v|0.13v|0.11v|0.09v|0.08v|0.07v|0.05v|0.04v|0.03v|0.02v|0.01v|0.01v
0.7|0.25v|0.22v|0.18v|0.15v|0.13v|0.11v|0.10v|0.07v|0.06v|0.04v|0.03v|0.01v|0.01v
0.8|0.32v|0.28v|0.24v|0.20v|0.17v|0.14v|0.13v|0.10v|0.08v|0.06v|0.04v|0.02v|0.02v
0.9|0.41v|0.36v|0.30v|0.25v|0.21v|0.18v|0.16v|0.12v|0.10v|0.07v|0.05v|0.02v|0.02v
1|0.50v|0.44v|0.37v|0.31v|0.26v|0.22v|0.20v|0.15v|0.12v|0.09v|0.06v|0.03v|0.03v
1.2|0.72v|0.63v|0.53v|0.45v|0.37v|0.32v|0.29v|0.22v|0.17v|0.13v|0.09v|0.04v|0.04v
1.4|0.98v|0.86v|0.73v|0.61v|0.51v|0.43v|0.39v|0.29v|0.24v|0.18v|0.12v|0.06v|0.06v
1.6|1.28v|1.13v|0.95v|0.79v|0.67v|0.56v|0.51v|0.38v|0.31v|0.23v|0.15v|0.08v|0.08v
1.8|1.62v|1.43v|1.20v|1.00v|0.84v|0.71v|0.65v|0.49v|0.39v|0.29v|0.19v|0.10v|0.10v
2|2.00v|1.76v|1.48v|1.24v|1.04v|0.88v|0.80v|0.60v|0.48v|0.36v|0.24v|0.12v|0.12v
2.2|2.42v|2.13v|1.79v|1.50v|1.26v|1.06v|0.97v|0.73v|0.58v|0.44v|0.29v|0.15v|0.15v
2.4|2.88v|2.53v|2.13v|1.79v|1.50v|1.27v|1.15v|0.86v|0.69v|0.52v|0.35v|0.17v|0.17v
2.6|3.38v|2.97v|2.50v|2.10v|1.76v|1.49v|1.35v|1.01v|0.81v|0.61v|0.41v|0.20v|0.20v
2.8|3.92v|3.45v|2.90v|2.43v|2.04v|1.72v|1.57v|1.18v|0.94v|0.71v|0.47v|0.24v|0.24v
3|4.50v|3.96v|3.33v|2.79v|2.34v|1.98v|1.80v|1.35v|1.08v|0.81v|0.54v|0.27v|0.27v
3.5|6.13v|5.39v|4.53v|3.80v|3.19v|2.70v|2.45v|1.84v|1.47v|1.10v|0.74v|0.37v|0.37v
4|8.00v|7.04v|5.92v|4.96v|4.16v|3.52v|3.20v|2.40v|1.92v|1.44v|0.96v|0.48v|0.48v
4.5|10.13v|8.91v|7.49v|6.28v|5.27v|4.46v|4.05v|3.04v|2.43v|1.82v|1.22v|0.61v|0.61v
5|12.50v|11.00v|9.25v|7.75v|6.50v|5.50v|5.00v|3.75v|3.00v|2.25v|1.50v|0.75v|0.75v
