||||||CO Values|||||||
||||||θ|||||||
A0/A1|0|3|5|10|15|20|30|45|60|90|120|150|180
0.063|0v|0.44v|0.27v|0.25v|0.27v|0.36v|0.56v|0.71v|0.86v|0.99v|0.99v|0.98v|0.98v
0.10|0.00v|0.41v|0.27v|0.23v|0.25v|0.34v|0.53v|0.69v|0.83v|0.94v|0.94v|0.92v|0.91v
0.17|0.00v|0.34v|0.28v|0.21v|0.23v|0.30v|0.48v|0.65v|0.76v|0.83v|0.83v|0.82v|0.80v
0.25|0.00v|0.26v|0.29v|0.17v|0.19v|0.25v|0.42v|0.60v|0.68v|0.70v|0.70v|0.68v|0.66v
0.50|0.00v|0.16v|0.24v|0.14v|0.13v|0.15v|0.24v|0.35v|0.37v|0.38v|0.37v|0.36v|0.35v
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
2.00|0.00v|0.30v|0.38v|0.25v|0.17v|0.17v|0.17v|0.23v|0.29v|0.49v|0.66v|0.81v|0.88v
4.00|0.00v|1.66v|1.25v|0.77v|0.70v|0.70v|0.70v|0.90v|1.09v|2.84v|4.36v|5.69v|6.57v
6.00|0.00v|4.05v|3.14v|1.76v|1.58v|1.58v|1.58v|2.12v|2.66v|6.71v|10.11v|13.13v|15.20v
10.00|0.00v|12.01v|9.39v|5.33v|5.00v|5.00v|5.00v|6.45v|7.93v|19.10v|28.60v|36.79v|42.79v
