|||||Cb Values|||||
|||||Qb/Qc|||||
As/AC|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
|0.25|2.25v|0.48v|0.25v|0.18v|0.17v|0.16v|0.17v|0.17v|0.17v
0.50|0.50|11.00v|2.38v|1.06v|0.64v|0.52v|0.47v|0.47v|0.47v|0.48v
|1.00|60.00v|13.00v|4.78v|2.06v|0.96v|0.47v|0.31v|0.27v|0.26v
|0.25|2.19v|0.55v|0.35v|0.31v|0.33v|0.35v|0.36v|0.37v|0.39v
0.75|0.50|13.00v|2.50v|0.89v|0.47v|0.34v|0.31v|0.32v|0.36v|0.43v
|1.00|70.00v|15.00v|5.67v|2.63v|1.36v|0.78v|0.53v|0.41v|0.36v
|0.25|3.44v|0.78v|0.42v|0.33v|0.30v|0.31v|0.40v|0.42v|0.46v
1.00|0.50|15.50v|3.00v|1.11v|0.63v|0.48v|0.42v|0.40v|0.42v|0.46v
|1.00|67.00v|13.75v|5.11v|2.31v|1.28v|0.81v|0.59v|0.47v|0.46v
|||||Cs Values|||||
|||||Qs/Qc|||||
As/Ac|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
|0.25|8.65v|1.12v|0.21v|0.05v|0.06v|0.10v|0.15v|0.19v|0.24v
0.50|0.50|7.50v|0.98v|0.19v|0.06v|0.06v|0.10v|0.14v|0.18v|0.22v
|1.00|5.21v|0.68v|0.15v|0.06v|0.07v|0.10v|0.13v|0.16v|0.19v
|0.25|19.62v|3.25v|0.86v|0.23v|0.05v|0.02v|0.00v|0.00v|0.05v
0.75|0.50|20.62v|3.24v|0.76v|0.14v|-0.03v|-0.07v|-0.05v|-0.01v|0.03v
|1.00|17.01v|2.55v|0.55v|0.07v|-0.05v|-0.05v|-0.02v|0.02v|0.06v
|0.25|46.00v|9.50v|3.22v|1.31v|0.52v|0.14v|-0.02v|-0.05v|-0.01v
1.00|0.50|35.34v|6.49v|1.98v|0.69v|0.22v|0.00v|-0.04v|-0.05v|-0.05v
|1.00|38.95v|7.10v|2.15v|0.74v|0.23v|0.03v|-0.04v|-0.05v|-0.04v
