||||Cb Values|||||
||||Qb/Qc|||||
Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|1.58v|0.94v|0.83v|0.79v|0.77v|0.76v|0.76v|0.76v|0.75v
0.2|4.2v|1.58v|1.1v|0.94v|0.87v|0.83v|0.8v|0.79v|0.78v
0.3|8.63v|2.67v|1.58v|1.2v|1.03v|0.91v|0.88v|0.85v|0.83v
0.4|14.85v|4.2v|2.25v|1.58v|1.27v|1.1v|1v|0.94v|0.9v
0.5|22.87v|6.19v|3.13v|2.07v|1.58v|1.32v|1.16v|1.06v|0.99v
0.6|32.68v|8.63v|4.2v|2.67v|1.96v|1.58v|1.35v|1.2v|1.1v
0.7|44.3v|11.51v|5.48v|3.38v|2.41v|1.89v|1.58v|1.38v|1.24v
0.8|57.71v|14.85v|6.95v|4.2v|2.94v|2.25v|1.84v|1.58v|1.4v
0.9|72.92v|18.63v|8.63v|5.14v|3.53v|2.67v|2.14v|1.81v|1.58v
||||Cs Values|||||
||||Qs/Qc|||||
As/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.10|0.04v|0.01v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
0.20|0.98v|0.04v|0.01v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
0.30|3.48v|0.31v|0.04v|0.01v|0.00v|0.00v|0.00v|0.00v|0.00v
0.40|7.55v|0.98v|0.18v|0.04v|0.02v|0.00v|0.00v|0.00v|0.00v
0.50|13.18v|2.03v|0.49v|0.13v|0.04v|0.00v|0.01v|0.00v|0.00v
0.60|20.38v|3.48v|0.98v|0.31v|0.10v|0.04v|0.02v|0.01v|0.00v
0.70|29.15v|5.32v|1.64v|0.60v|0.23v|0.09v|0.04v|0.02v|0.01v
0.80|39.48v|7.55v|2.47v|0.98v|0.42v|0.18v|0.08v|0.04v|0.02v
0.90|51.37v|10.17v|3.48v|1.46v|0.67v|0.31v|0.15v|0.07v|0.04v
