||||||Co Values->colspan|||||||
||||||θ->colspan|||||||
A0/A1|0|3|5|10|15|20|30|45|60|90|120|150|180
0.10|0.00v|0.12v|0.09v|0.05v|0.05v|0.05v|0.05v|0.06v|0.08v|0.19v|0.29v|0.37v|0.43v
0.17|0.00v|0.11v|0.09v|0.05v|0.04v|0.04v|0.04v|0.06v|0.07v|0.19v|0.28v|0.36v|0.42v
0.25|0.00v|0.10v|0.08v|0.05v|0.04v|0.04v|0.04v|0.06v|0.07v|0.18v|0.27v|0.36v|0.41v
0.50|0.00v|0.08v|0.09v|0.06v|0.04v|0.04v|0.04v|0.06v|0.07v|0.12v|0.17v|0.20v|0.27v
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|1.00v
2.00|0.00v|0.64v|0.96v|0.54v|0.52v|0.62v|0.94v|1.40v|1.48v|1.52v|1.48v|1.44v|1.40v
4.00|0.00v|4.16v|4.64v|2.72v|3.09v|4.00v|6.72v|9.60v|10.88v|11.20v|11.20v|10.88v|10.56v
6.00|0.00v|12.24v|10.08v|7.38v|8.10v|10.80v|17.28v|23.40v|27.36v|29.88v|29.88v|29.34v|28.80v
10.00|0.00v|40.50v|27.20v|23.30v|25.10v|34.00v|52.84v|69.00v|82.50v|93.50v|93.50v|92.40v|91.30v
16.00|0.00v|112.64v|68.35v|63.74v|67.84v|92.93v|142.13v|182.53v|220.16v|254.21v|254.21v|251.90v|249.60v
