||||Cb Values|||||
||||Qb/Qc|||||
Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.10|1.20v|0.62v|0.80v|1.28v|1.99v|2.92v|4.07v|5.44v|7.02v
0.20|4.10v|1.20v|0.72v|0.62v|0.66v|0.80v|1.01v|1.28v|1.60v
0.30|8.99v|2.40v|1.20v|0.81v|0.66v|0.62v|0.64v|0.70v|0.80v
0.40|15.89v|4.10v|1.94v|1.20v|0.88v|0.72v|0.64v|0.62v|0.63v
0.50|24.80v|6.29v|2.91v|1.74v|1.20v|0.92v|0.77v|0.68v|0.63v
0.60|35.73v|8.99v|4.10v|2.40v|1.62v|1.20v|0.96v|0.81v|0.72v
0.70|48.67v|12.19v|5.51v|3.19v|2.12v|1.55v|1.20v|0.99v|0.85v
0.80|63.63v|15.89v|7.14v|4.10v|2.70v|1.94v|1.49v|1.20v|1.01v
0.90|80.60v|20.10v|8.99v|5.13v|3.36v|2.40v|1.83v|1.46v|1.20v
1.00|99.60v|24.80v|11.07v|6.29v|4.10v|2.91v|2.20v|1.74v|1.43v
||||Cs Values|||||
||||Qs/Qc|||||
As/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.13v|0.24v|0.57v|0.74v|0.74v|0.7v|0.65v|0.6v|0.56v
0.2|0.2v|0.13v|0.15v|0.16v|0.28v|0.57v|0.69v|0.74v|0.75v
0.3|0.9v|0.14v|0.13v|0.14v|0.15v|0.16v|0.2v|0.42v|0.57v
0.4|2.88v|0.2v|0.14v|0.13v|0.14v|0.15v|0.15v|0.16v|0.34v
0.5|6.25v|0.38v|0.17v|0.14v|0.13v|0.14v|0.14v|0.15v|0.15v
0.6|11.88v|0.9v|0.2v|0.14v|0.14v|0.13v|0.14v|0.14v|0.15v
0.7|18.62v|1.72v|0.33v|0.18v|0.16v|0.14v|0.13v|0.15v|0.14v
0.8|26.88v|2.88v|0.5v|0.2v|0.15v|0.14v|0.13v|0.13v|0.14v
0.9|36.45v|4.46v|0.9v|0.3v|0.19v|0.16v|0.15v|0.14v|0.13v
1|45v|6.25v|1.44v|0.38v|0.2v|0.17v|0.12v|0.13v|0.14v
