|||||Cb1 Values|||||
|||||Qb1/Qc|||||
As/Ac|Ab1/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
|0.1|2.07v|2.08v|1.62v|1.3v|1.08v|0.93v|0.81v|0.72v|0.64v
|0.2|2.98v|2.07v|2.31v|2.08v|1.83v|1.62v|1.44v|1.3v|1.18v
|0.3|7.36v|1.56v|2.07v|2.34v|2.24v|2.08v|1.91v|1.76v|1.62v
|0.4|13.78v|2.98v|1.2v|2.07v|2.32v|2.31v|2.21v|2.08v|1.95v
0.2|0.5|22.24v|4.92v|1.98v|1.28v|2.07v|2.3v|2.33v|2.27v|2.18v
|0.6|32.73v|7.36v|2.98v|1.56v|1.48v|2.07v|2.29v|2.34v|2.31v
|0.7|45.26v|10.32v|4.21v|2.21v|1.34v|1.6v|2.07v|2.27v|2.33v
|0.8|59.82v|13.78v|5.67v|2.98v|1.8v|1.2v|1.68v|2.07v|2.25v
|0.9|76.41v|17.75v|7.36v|3.88v|2.35v|1.56v|1.12v|1.74v|2.07v
|1|95.04v|22.24v|9.27v|4.92v|2.98v|1.98v|1.4v|1.28v|1.78v
|0.1|0.65v|3.25v|3.11v|2.69v|2.32v|2.03v|1.8v|1.61v|1.46v
|0.2|2.98v|0.65v|2.44v|3.25v|3.28v|3.11v|2.9v|2.69v|2.49v
|0.3|7.36v|1.56v|0.65v|1.69v|2.88v|3.25v|3.31v|3.23v|3.11v
|0.4|13.78v|2.98v|1.2v|0.65v|1.12v|2.44v|3.02v|3.25v|3.31v
0.35|0.5|22.24v|4.92v|1.98v|1.04v|0.65v|0.69v|2.04v|2.73v|3.09v
|0.6|32.73v|7.36v|2.98v|1.56v|0.96v|0.65v|0.49v|1.69v|2.44v
|0.7|45.26v|10.32v|4.21v|2.21v|1.34v|0.9v|0.65v|0.51v|1.38v
|0.8|59.82v|13.78v|5.67v|2.98v|1.8v|1.2v|0.86v|0.65v|0.52v
|0.9|76.41v|17.75v|7.36v|3.88v|2.35v|1.56v|1.11v|0.83v|0.65v
|1|95.04v|22.24v|9.27v|4.92v|2.98v|1.98v|1.4v|1.04v|0.81v
|0.1|0.65v|1.5v|1.56v|1.38v|1.2v|1.06v|0.94v|0.84v|0.77v
|0.2|2.98v|0.65v|0.89v|1.5v|1.6v|1.56v|1.47v|1.38v|1.28v
|0.3|7.36v|1.56v|0.65v|0.39v|1.2v|1.5v|1.59v|1.59v|1.56v
|0.4|13.78v|2.98v|1.2v|0.65v|0.43v|0.89v|1.31v|1.5v|1.58v
0.55|0.5|22.24v|4.92v|1.98v|1.04v|0.65v|0.47v|0.61v|1.09v|1.36v
|0.6|32.73v|7.36v|2.98v|1.56v|0.96v|0.65v|0.49v|0.39v|0.89v
|0.7|45.26v|10.32v|4.21v|2.21v|1.34v|0.9v|0.65v|0.51v|0.42v
|0.8|59.82v|13.78v|5.67v|2.98v|1.8v|1.2v|0.86v|0.65v|0.52v
|0.9|76.41v|17.75v|7.36v|3.88v|2.35v|1.56v|1.11v|0.83v|0.65v
|1|95.04v|22.24v|9.27v|4.92v|2.98v|1.98v|1.4v|1.04v|0.81v
|0.1|0.65v|0.24v|0.15v|0.11v|0.09v|0.07v|0.06v|0.05v|0.05v
|0.2|2.98v|0.65v|0.33v|0.24v|0.18v|0.15v|0.13v|0.11v|0.1v
|0.3|7.36v|1.56v|0.65v|0.39v|0.29v|0.24v|0.2v|0.17v|0.15v
|0.4|13.78v|2.98v|1.2v|0.65v|0.43v|0.33v|0.27v|0.24v|0.21v
0.8|0.5|22.24v|4.92v|1.98v|1.04v|0.65v|0.47v|0.36v|0.31v|0.27v
|0.6|32.73v|7.36v|2.98v|1.56v|0.96v|0.65v|0.49v|0.39v|0.33v
|0.7|45.26v|10.32v|4.21v|2.21v|1.34v|0.9v|0.65v|0.51v|0.42v
|0.8|59.82v|13.78v|5.67v|2.98v|1.8v|1.2v|0.86v|0.65v|0.52v
|0.9|76.41v|17.75v|7.36v|3.88v|2.35v|1.56v|1.11v|0.83v|0.65v
|1|95.04v|22.24v|9.27v|4.92v|2.98v|1.98v|1.4v|1.04v|0.81v
|0.1|0.65v|0.24v|0.15v|0.11v|0.09v|0.07v|0.06v|0.05v|0.05v
|0.2|2.98v|0.65v|0.33v|0.24v|0.18v|0.15v|0.13v|0.11v|0.1v
|0.3|7.36v|1.56v|0.65v|0.39v|0.29v|0.24v|0.2v|0.17v|0.15v
|0.4|13.78v|2.98v|1.2v|0.65v|0.43v|0.33v|0.27v|0.24v|0.21v
1|0.5|22.24v|4.92v|1.98v|1.04v|0.65v|0.47v|0.36v|0.31v|0.27v
|0.6|32.73v|7.36v|2.98v|1.56v|0.96v|0.65v|0.49v|0.39v|0.33v
|0.7|45.26v|10.32v|4.21v|2.21v|1.34v|0.9v|0.65v|0.51v|0.42v
|0.8|59.82v|13.78v|5.67v|2.98v|1.8v|1.2v|0.86v|0.65v|0.52v
|0.9|76.41v|17.75v|7.36v|3.88v|2.35v|1.56v|1.11v|0.83v|0.65v
|1|95.04v|22.24v|9.27v|4.92v|2.98v|1.98v|1.4v|1.04v|0.81v
||||Cs Values||||||
||||Qs/Qc||||||
As/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|
0.1|0.13v|0.24v|0.57v|0.74v|0.74v|0.7v|0.65v|0.6v|0.56v|
0.2|0.2v|0.13v|0.15v|0.16v|0.28v|0.57v|0.69v|0.74v|0.75v|
0.3|0.9v|0.14v|0.13v|0.14v|0.15v|0.16v|0.2v|0.42v|0.57v|
0.4|2.88v|0.2v|0.14v|0.13v|0.14v|0.15v|0.15v|0.16v|0.34v|
0.5|6.25v|0.38v|0.17v|0.14v|0.13v|0.14v|0.14v|0.15v|0.15v|
0.6|11.88v|0.9v|0.2v|0.14v|0.14v|0.13v|0.14v|0.14v|0.15v|
0.7|18.62v|1.72v|0.33v|0.18v|0.16v|0.14v|0.13v|0.15v|0.14v|
0.8|26.88v|2.88v|0.5v|0.2v|0.15v|0.14v|0.13v|0.13v|0.14v|
0.9|36.45v|4.46v|0.9v|0.3v|0.19v|0.16v|0.15v|0.14v|0.13v|
1|45v|6.25v|1.44v|0.38v|0.2v|0.17v|0.12v|0.13v|0.14v|
