||||||Co Values|||||||
||||||θ|||||||
A0/A1|0|3|5|10|15|20|30|45|60|90|120|150|180
0.10|0.00v|0.12v|0.09v|0.05v|0.05v|0.05v|0.05v|0.06v|0.08v|0.19v|0.29v|0.37v|0.43v
0.17|0.00v|0.11v|0.08v|0.05v|0.05v|0.05v|0.05v|0.06v|0.07v|0.19v|0.28v|0.37v|0.42v
0.25|0.00v|0.10v|0.07v|0.05v|0.05v|0.05v|0.05v|0.06v|0.07v|0.17v|0.27v|0.35v|0.41v
0.50|0.00v|0.08v|0.07v|0.06v|0.07v|0.06v|0.05v|0.06v|0.07v|0.13v|0.19v|0.23v|0.24v
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
2.00|0.00v|0.57v|0.55v|0.61v|0.87v|1.00v|1.20v|1.30v|1.30v|1.30v|1.28v|1.24v|1.20v
4.00|0.00v|2.60v|2.84v|3.92v|5.72v|7.20v|8.32v|9.28v|9.92v|10.24v|10.24v|10.24v|10.24v
6.00|0.00v|6.57v|6.75v|10.62v|15.84v|18.90v|22.50v|25.74v|27.90v|28.44v|28.44v|28.35v|28.26v
10.00|0.00v|17.25v|18.75v|30.00v|45.00v|53.00v|63.50v|75.00v|84.00v|89.00v|89.00v|88.50v|88.00v
16.00|0.00v|42.75v|48.13v|77.57v|116.74v|136.45v|164.10v|196.86v|224.26v|241.92v|241.92v|240.38v|238.59v
