||||||Co Values->colspan|||||||
||||||n->colspan|||||||
A1/A0|0.3|0.35|0.4|0.45|0.5|0.55|0.6|0.65|0.7|0.75|0.8|0.9|1
0.2|155v|103v|75v|55v|41.25v|31.5v|24.25v|18.75v|14.5v|11v|8v|3.5v|0v
0.3|68.89v|45.56v|33.33v|24.44v|18.33v|14v|10.78v|8.33v|6.44v|4.89v|3.56v|1.56v|0v
0.4|38.75v|25.63v|18.75v|13.75v|10.31v|7.88v|6.06v|4.69v|3.63v|2.75v|2v|0.88v|0v
0.5|24.8v|16.4v|12v|8.8v|6.6v|5.04v|3.88v|3v|2.32v|1.76v|1.28v|0.56v|0v
0.6|17.22v|11.39v|8.33v|6.11v|4.58v|3.5v|2.69v|2.08v|1.61v|1.22v|0.89v|0.39v|0v
0.7|12.65v|8.37v|6.12v|4.49v|3.37v|2.57v|1.98v|1.53v|1.18v|0.9v|0.65v|0.29v|0v
0.8|9.69v|6.4v|4.69v|3.44v|2.58v|1.97v|1.52v|1.17v|0.91v|0.69v|0.5v|0.22v|0v
0.9|7.65v|5.06v|3.7v|2.72v|2.04v|1.56v|1.2v|0.93v|0.72v|0.54v|0.4v|0.17v|0v
1|6.2v|4.1v|3v|2.2v|1.65v|1.26v|0.97v|0.75v|0.58v|0.44v|0.32v|0.14v|0v
1.2|4.31v|2.85v|2.08v|1.53v|1.15v|0.88v|0.67v|0.52v|0.4v|0.31v|0.22v|0.1v|0v
1.4|3.16v|2.09v|1.53v|1.12v|0.84v|0.64v|0.49v|0.38v|0.3v|0.22v|0.16v|0.07v|0v
1.6|2.42v|1.6v|1.17v|0.86v|0.64v|0.49v|0.38v|0.29v|0.23v|0.17v|0.13v|0.05v|0v
1.8|1.91v|1.27v|0.93v|0.68v|0.51v|0.39v|0.3v|0.23v|0.18v|0.14v|0.1v|0.04v|0v
2|1.55v|1.03v|0.75v|0.55v|0.41v|0.32v|0.24v|0.19v|0.15v|0.11v|0.08v|0.04v|0v
2.5|0.99v|0.66v|0.48v|0.35v|0.26v|0.2v|0.16v|0.12v|0.09v|0.07v|0.05v|0.02v|0v
3|0.69v|0.46v|0.33v|0.24v|0.18v|0.14v|0.11v|0.08v|0.06v|0.05v|0.04v|0.02v|0v
4|0.39v|0.26v|0.19v|0.14v|0.1v|0.08v|0.06v|0.05v|0.04v|0.03v|0.02v|0.01v|0v
6|0.17v|0.11v|0.08v|0.06v|0.05v|0.04v|0.03v|0.02v|0.02v|0.01v|0.01v|0v|0v
