|||||Cf Values->colspan|||||||
|||||H/W->colspan|||||||
θ|r/W|0.25|0.50|0.75|1.00|1.50|2.00|3.00|4.00|5.00|6.00|8.00
30|0.500v|0.689v|0.621v|0.581v|0.531v|0.477v|0.450v|0.450v|0.477v|0.504v|0.522v|0.531v
30|0.750v|0.257v|0.234v|0.216v|0.198v|0.180v|0.176v|0.176v|0.180v|0.189v|0.194v|0.198v
30|1.000v|0.122v|0.113v|0.104v|0.095v|0.086v|0.081v|0.081v|0.086v|0.090v|0.095v|0.095v
30|1.500v|0.099v|0.090v|0.086v|0.077v|0.068v|0.063v|0.063v|0.068v|0.072v|0.077v|0.077v
30|2.000v|0.090v|0.081v|0.072v|0.068v|0.063v|0.059v|0.059v|0.063v|0.063v|0.068v|0.068v
60|0.500v|1.193v|1.076v|1.006v|0.920v|0.827v|0.780v|0.780v|0.827v|0.874v|0.905v|0.920v
60|0.750v|0.445v|0.406v|0.374v|0.343v|0.312v|0.304v|0.304v|0.312v|0.328v|0.335v|0.343v
60|1.000v|0.211v|0.195v|0.179v|0.164v|0.148v|0.140v|0.140v|0.148v|0.156v|0.164v|0.164v
60|1.500v|0.172v|0.156v|0.148v|0.133v|0.117v|0.109v|0.109v|0.117v|0.125v|0.133v|0.133v
60|2.000v|0.156v|0.140v|0.125v|0.117v|0.109v|0.101v|0.101v|0.109v|0.109v|0.117v|0.117v
90|0.500v|1.530v|1.380v|1.290v|1.180v|1.060v|1.000v|1.000v|1.060v|1.120v|1.160v|1.180v
90|0.750v|0.570v|0.520v|0.480v|0.440v|0.400v|0.390v|0.390v|0.400v|0.420v|0.430v|0.440v
90|1.000v|0.270v|0.250v|0.230v|0.210v|0.190v|0.180v|0.180v|0.190v|0.200v|0.210v|0.210v
90|1.500v|0.220v|0.200v|0.190v|0.170v|0.150v|0.140v|0.140v|0.150v|0.160v|0.170v|0.170v
90|2.000v|0.200v|0.180v|0.160v|0.150v|0.140v|0.130v|0.130v|0.140v|0.140v|0.150v|0.150v
120|0.500v|1.836v|1.656v|1.548v|1.416v|1.272v|1.200v|1.200v|1.272v|1.344v|1.392v|1.416v
120|0.750v|0.684v|0.624v|0.576v|0.528v|0.480v|0.468v|0.468v|0.480v|0.504v|0.516v|0.528v
120|1.000v|0.324v|0.300v|0.276v|0.252v|0.228v|0.216v|0.216v|0.228v|0.240v|0.252v|0.252v
120|1.500v|0.264v|0.240v|0.228v|0.204v|0.180v|0.168v|0.168v|0.180v|0.192v|0.204v|0.204v
120|2.000v|0.240v|0.216v|0.192v|0.180v|0.168v|0.156v|0.156v|0.168v|0.168v|0.180v|0.180v
150|0.500v|1.958v|1.766v|1.651v|1.510v|1.357v|1.280v|1.280v|1.357v|1.434v|1.485v|1.510v
150|0.750v|0.730v|0.666v|0.614v|0.563v|0.512v|0.499v|0.499v|0.512v|0.538v|0.550v|0.563v
150|1.000v|0.346v|0.320v|0.294v|0.269v|0.243v|0.230v|0.230v|0.243v|0.256v|0.269v|0.269v
150|1.500v|0.282v|0.256v|0.243v|0.218v|0.192v|0.179v|0.179v|0.192v|0.205v|0.218v|0.218v
150|2.000v|0.256v|0.230v|0.205v|0.192v|0.179v|0.166v|0.166v|0.179v|0.179v|0.192v|0.192v
180|0.500v|2.142v|1.932v|1.806v|1.652v|1.484v|1.400v|1.400v|1.484v|1.568v|1.624v|1.652v
180|0.750v|0.798v|0.728v|0.672v|0.616v|0.560v|0.546v|0.546v|0.560v|0.588v|0.602v|0.616v
180|1.000v|0.378v|0.350v|0.322v|0.294v|0.266v|0.252v|0.252v|0.266v|0.280v|0.294v|0.294v
180|1.500v|0.308v|0.280v|0.266v|0.238v|0.210v|0.196v|0.196v|0.210v|0.224v|0.238v|0.238v
180|2.000v|0.280v|0.252v|0.224v|0.210v|0.196v|0.182v|0.182v|0.196v|0.196v|0.210v|0.210v
