|||||Co Values->colspan|||||
|||||H/W->colspan|||||
r/W|0.25|0.50|0.75|1.00|1.50|2.00|3.00|4.00|5.00|6.00
0.1|1.14v|1.03v|0.96v|0.88v|0.79v|0.75v|0.75v|0.79v|0.84v|0.86v
0.2|0.91v|0.82v|0.76v|0.7v|0.63v|0.6v|0.6v|0.63v|0.67v|0.69v
0.3|0.73v|0.66v|0.61v|0.56v|0.5v|0.48v|0.48v|0.5v|0.53v|0.55v
0.4|0.68v|0.61v|0.57v|0.52v|0.47v|0.45v|0.45v|0.47v|0.5v|0.51v
0.6|0.59v|0.53v|0.52v|0.46v|0.41v|0.39v|0.39v|0.41v|0.44v|0.45v
0.8|0.55v|0.49v|0.49v|0.42v|0.38v|0.36v|0.36v|0.38v|0.4v|0.41v
1|0.52v|0.47v|0.44v|0.4v|0.36v|0.34v|0.34v|0.36v|0.38v|0.39v
