|||||Cb Values->colspan|||||
|||||Qb/Qc->colspan|||||
As/Ac|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.1|-13.25v|-1.8v|0.01v|0.55v|0.75v|0.84v|0.88v|0.91v|0.97v
0.1|0.2|-56.1v|-10.12v|-2.8v|-0.63v|0.19v|0.53v|0.69v|0.75v|0.78v
0.1|0.3|-127.3v|-23.81v|-7.31v|-2.44v|-0.59v|0.19v|0.52v|0.66v|0.7v
0.1|0.4|-226.8v|-42.88v|-13.55v|-4.89v|-1.61v|-0.22v|0.38v|0.62v|0.68v
0.1|0.5|-354.8v|-67.34v|-21.52v|-7.98v|-2.86v|-0.69v|0.24v|0.61v|0.7v
0.1|0.6|-511.1v|-97.21v|-31.22v|-11.73v|-4.35v|-1.23v|0.11v|0.64v|0.77v
0.1|0.7|-695.9v|-132.5v|-42.66v|-16.13v|-6.08v|-1.84v|0v|0.71v|0.89v
0.1|0.8|-909v|-173.1v|-55.83v|-21.17v|-8.05v|-2.51v|-0.12v|0.82v|1.05v
0.1|0.9|-1151v|-219.2v|-70.73v|-26.87v|-10.27v|-3.25v|-0.22v|0.97v|1.26v
0.1|1|-1420v|-270.7v|-87.36v|-33.21v|-12.72v|-4.05v|-0.31v|1.15v|1.51v
0.2|0.1|-5.3v|-0.24v|0.54v|0.77v|0.85v|0.88v|0.9v|0.93v|0.98v
0.2|0.2|-24.17v|-3.78v|-0.6v|0.3v|0.64v|0.77v|0.83v|0.88v|0.98v
0.2|0.3|-55.88v|-9.77v|-2.57v|-0.5v|0.25v|0.55v|0.67v|0.7v|0.71v
0.2|0.4|-99.93v|-17.94v|-5.13v|-1.45v|-0.11v|0.42v|0.62v|0.68v|0.68v
0.2|0.5|-156.5v|-28.4v|-8.37v|-2.62v|-0.52v|0.3v|0.62v|0.71v|0.69v
0.2|0.6|-225.6v|-41.13v|-12.3v|-4.01v|-0.99v|0.2v|0.66v|0.78v|0.75v
0.2|0.7|-307.3v|-56.14v|-16.9v|-5.61v|-1.51v|0.11v|0.73v|0.9v|0.86v
0.2|0.8|-401.4v|-73.44v|-22.18v|-7.44v|-2.08v|0.04v|0.84v|1.06v|1.01v
