||||||Co  Values->colspan|||||||
||||||θ->colspan|||||||
A1/A0|0|3|5|10|15|20|30|45|60|90|120|150|180
0.063|0.00v|0.18v|0.18v|0.20v|0.29v|0.38v|0.60v|0.84v|0.88v|0.88v|0.88v|0.88v|0.88v
0.10|0.00v|0.20v|0.18v|0.20v|0.27v|0.38v|0.59v|0.76v|0.80v|0.83v|0.84v|0.83v|0.83v
0.167|0.00v|0.18v|0.17v|0.18v|0.25v|0.33v|0.48v|0.66v|0.77v|0.74v|0.73v|0.73v|0.72v
0.25|0.00v|0.20v|0.17v|0.16v|0.21v|0.30v|0.46v|0.61v|0.68v|0.64v|0.63v|0.62v|0.62v
0.50|0.00v|0.15v|0.13v|0.11v|0.13v|0.19v|0.32v|0.33v|0.33v|0.32v|0.31v|0.30v|0.30v
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
2.00|0.00v|0.30v|0.26v|0.21v|0.19v|0.19v|0.19v|0.23v|0.27v|0.51v|0.73v|0.90v|0.95v
4.00|0.00v|1.60v|1.14v|0.75v|0.70v|0.70v|0.70v|0.90v|1.09v|2.78v|4.29v|5.63v|6.53v
6.00|0.00v|3.89v|3.02v|1.73v|1.58v|1.58v|1.58v|2.12v|2.66v|6.62v|10.01v|13.03v|15.12v
10.00|0.00v|11.80v|9.30v|5.30v|5.00v|5.00v|5.00v|6.45v|7.90v|19.00v|28.50v|36.70v|42.70v
