||||Cb Values->colspan|||||
||||Qb/Qc->colspan|||||
Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.6v|0.52v|0.57v|0.58v|0.64v|0.67v|0.7v|0.71v|0.73v
0.2|2.24v|0.56v|0.44v|0.45v|0.51v|0.54v|0.58v|0.6v|0.62v
0.3|5.93v|1.08v|0.52v|0.41v|0.43v|0.46v|0.49v|0.52v|0.54v
0.4|10.61v|1.89v|0.72v|0.43v|0.34v|0.31v|0.31v|0.33v|0.34v
0.5|17.7v|3.23v|1.14v|0.59v|0.4v|0.31v|0.3v|0.3v|0.31v
0.6|26.66v|5.01v|1.75v|0.84v|0.5v|0.36v|0.31v|0.3v|0.3v
0.7|37.49v|7.22v|2.53v|1.17v|0.66v|0.43v|0.35v|0.32v|0.3v
0.8|50.2v|9.87v|3.49v|1.61v|0.88v|0.54v|0.41v|0.35v|0.32v
0.9|64.77v|12.95v|4.63v|2.13v|1.14v|0.69v|0.5v|0.4v|0.35v
Qs/Qc|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
Cs|32.40v|6.40v|2.18v|0.90v|0.40v|0.18v|0.07v|0.03v|0.00v
