||||Cb1 Values->colspan|||||
||||Qb1/Qc->colspan|||||
Ab1/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.3|3.91v|0.45v|0.2v|0.12v|0.07v|0.05v|0.04v|0.03v|0.02v
0.4|4.64v|2.84v|1.2v|0.35v|0.22v|0.16v|0.11v|0.09v|0.07v
0.5|7.22v|3.91v|3.14v|1.57v|0.79v|0.36v|0.27v|0.21v|0.16v
0.6|13.74v|4.25v|3.73v|3.69v|2.39v|1.32v|0.77v|0.41v|0.33v
0.7|24.15v|6.67v|5.34v|3.39v|4.27v|3.31v|2.12v|1.38v|0.6v
0.8|41.2v|10.92v|7.94v|3.66v|3.35v|4.03v|3.96v|3.11v|2.29v
0.9|65.1v|16.88v|7.94v|4.9v|3.69v|3.3v|3.51v|4.32v|4v
1|100v|25.04v|10.17v|5.81v|4.4v|4.01v|3.95v|3.97v|3.94v
