|||||Cb1 Values->colspan|||||
|||||Qb1/Qc->colspan|||||
As/Ac|Ab1/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.2|0.1|2.07v|2.08v|1.62v|1.3v|1.99v|2.92v|4.07v|5.44v|7.02v
0.2|0.2|4.1v|2.07v|2.31v|2.08v|1.83v|1.62v|1.44v|1.3v|1.6v
0.2|0.3|8.99v|2.4v|2.07v|2.34v|2.24v|2.08v|1.91v|1.76v|1.62v
0.2|0.4|15.89v|4.1v|1.94v|2.07v|2.32v|2.31v|2.21v|2.08v|1.95v
0.2|0.5|24.8v|6.29v|2.91v|1.74v|2.07v|2.3v|2.33v|2.27v|2.18v
0.2|0.6|35.73v|8.99v|4.1v|2.4v|1.62v|2.07v|2.29v|2.34v|2.31v
0.2|0.7|48.67v|12.19v|5.51v|3.19v|2.12v|1.6v|2.07v|2.27v|2.33v
0.2|0.8|63.63v|15.89v|7.14v|4.1v|2.7v|1.94v|1.68v|2.07v|2.25v
0.2|0.9|80.6v|20.1v|8.99v|5.13v|3.36v|2.4v|1.83v|1.74v|2.07v
0.2|1|99.6v|24.8v|11.07v|6.29v|4.1v|2.91v|2.2v|1.74v|1.78v
0.35|0.1|1.2v|3.25v|3.11v|2.69v|2.32v|2.92v|4.07v|5.44v|7.02v
0.35|0.2|4.1v|1.2v|2.44v|3.25v|3.28v|3.11v|2.9v|2.69v|2.49v
0.35|0.3|8.99v|2.4v|1.2v|1.69v|2.88v|3.25v|3.31v|3.23v|3.11v
0.35|0.4|15.89v|4.1v|1.94v|1.2v|1.12v|2.44v|3.02v|3.25v|3.31v
0.35|0.5|24.8v|6.29v|2.91v|1.74v|1.2v|0.92v|2.04v|2.73v|3.09v
0.35|0.6|35.73v|8.99v|4.1v|2.4v|1.62v|1.2v|0.96v|1.69v|2.44v
0.35|0.7|48.67v|12.19v|5.51v|3.19v|2.12v|1.55v|1.2v|0.99v|1.38v
0.35|0.8|63.63v|15.89v|7.14v|4.1v|2.7v|1.94v|1.49v|1.2v|1.01v
0.35|0.9|80.6v|20.1v|8.99v|5.13v|3.36v|2.4v|1.83v|1.46v|1.2v
0.35|1|99.6v|24.8v|11.07v|6.29v|4.1v|2.91v|2.2v|1.74v|1.43v
0.55|0.1|1.2v|0.62v|0.8v|1.28v|1.99v|2.92v|4.07v|5.44v|7.02v
0.55|0.2|4.1v|1.2v|0.72v|0.62v|0.66v|0.8v|1.01v|1.28v|1.6v
0.55|0.3|8.99v|2.4v|1.2v|0.81v|0.66v|0.62v|0.64v|0.7v|0.8v
